name,reviews,lat,lon
Chiesa di San Maurizio al Monastero Maggiore,784,45.46565,9.178726
Duomo di Milano,9561,45.46467,9.1905
Dialogo nel Buio,183,45.468864,9.204101
L'Ultima Cena (Cenacolo Vinciano),3099,45.46596,9.170649
Terrazze del Duomo,221,45.46469,9.18957
Chiesa di Santa Maria presso San Satiro,407,45.46336,9.187867
Basilica di Sant'Ambrogio,754,45.462833,9.1755
Villa Necchi Campiglio,505,45.468334,9.201667
Cimitero Monumentale,807,45.484234,9.179834
Gallerie d'italia piazza della Scala,386,45.468,9.190666
Santa Maria della Grazie,810,45.465965,9.170896
Museo Poldi Pezzoli,292,45.468647,9.191522
Biblioteca-Pinacoteca Ambrosiana,298,45.463177,9.185146
Galleria Vittorio Emanuele II,3488,45.4656,9.19
Casa Museo Boschi-Di Stefano,122,45.478935,9.211667
"Civico Planetario ""Ulrico Hoepli""",203,45.474293,9.200126
Pinacoteca di Brera,1006,45.471966,9.187682
Castello Sforzesco,2398,45.47045,9.180639
Piazza del Duomo,2600,45.46468,9.19077
Museo Bagatti Valsecchi,133,45.46996,9.19477
Milano da Vedere,27,45.47696,9.106447
Teatro alla Scala,1802,45.467175,9.189667
Certosa di Garegnano,41,45.50253,9.128329
Chiesa di San Bernardino alle Ossa,144,45.462715,9.195266
Abbazia di Chiaravalle,212,45.415043,9.23351
Museo del Novecento,460,45.463665,9.191944
Piazza Gae Aulenti,150,45.483482,9.189089
Quartiere Brera,428,45.47134,9.18457
Fondazione Hangar Bicocca,82,45.51995,9.21875
Teatro della Cooperativa,35,45.51479,9.190076
Stadio Giuseppe Meazza (San Siro),1252,45.47817,9.124833
Grande Museo del Duomo di Milano,157,45.466736,9.189921
Basilica di Sant'Eustorgio,100,45.45386,9.180468
Parco Sempione,369,45.471867,9.180461
Chiesa di San Cristoforo sul Naviglio,88,45.447834,9.154516
Studio Museo Achille Castiglioni,16,45.469563,9.177267
Museo della Scienza e della Tecnologia Leonardo da Vinci,495,45.462364,9.170945
Piazza Mercanti,108,45.464657,9.187842
San Lorenzo Maggiore,76,45.45823,9.18111
Sacrestia del Bramante,50,45.46599,9.17189
Ospedale Maggiore Ca' Granda Universita Statale,43,45.4609,9.19441
Vicolo dei Lavandai,253,45.451954,9.17462
Basilica di San Simpliciano,20,45.473484,9.183929
Universita Cattolica Del Sacro Cuore,143,45.463047,9.176718
Parco delle Cave,50,45.461548,9.091805
Palazzo Morando,33,45.46875,9.196391
Dep Art,26,45.4635,9.22244
Politecnico di Milano,15,45.477486,9.226817
Casa di Riposo per Musicisti Giuseppe Verdi,43,45.470383,9.154903
Giardini di Villa Reale,59,45.47302,9.199592
Circo degli Orrori,30,45.455368,9.283834
Parco Nord,84,45.518257,9.207813
Tram Ristorante ATMosfera,130,45.465424,9.185925
Torre Branca,116,45.47297,9.172837
Arco della Pace,132,45.47537,9.173639
Collezione Branca,8,45.49552,9.177572
Giardini Pubblici Indro Montanelli,107,45.4742,9.197331
Via della Spiga,147,45.469917,9.197154
Galleria Civica d'Arte Moderna,54,45.4727,9.200552
Piccolo Teatro di Milano,57,45.472507,9.182083
Colonne di San Lorenzo,171,45.458267,9.181191
La Triennale di Milano,130,45.47256,9.173733
Distretto dei Navigli,580,45.459244,9.178616
Palazzo Reale,323,45.463535,9.190986
Boscoincitta,47,45.482548,9.092259
Santuario di Santa Maria alla Fontana,13,45.49271,9.188146
Via Monte Napoleone,257,45.46889,9.1811
Chiesa di San Babila,54,45.46674,9.197657
Pinacoteca Castello Sforzesco,42,45.46775,9.177129
Casa Galimberti e casa Guazzoni,12,45.474594,9.2071
Mercato di Via Fauche,29,45.48428,9.165986
La Corte dei Miracoli Cabaret,13,45.45435,9.17317
Museo del Risorgimento,21,45.472233,9.189886
Chiesa di San Sepolcro,15,45.462624,9.185285
Casa degli Omenoni,39,45.46717,9.192187
Chiesa di Santa Maria Incoronata,19,45.47985,9.186578
Chiesa di Sant'Antonio Abate,17,45.46098,9.19326
Mostra Rodin,14,45.46313,9.191192
Museo Civico Archeologico,58,45.465706,9.178707
Museo Martinitt e Stelline,10,45.4657,9.172674
Chiesa di San Marco,20,45.47318,9.18791
Fondazione Forma per la Fotografia,16,45.44941,9.183561
Palazzo Marino,41,45.46697,9.19007
Chiesa di Santa Maria presso San Celso,13,45.454987,9.187197
Teatro Carcano,14,45.45654,9.194943
Museo Teatrale alla Scala,102,45.46701,9.189559
Museo d'Arte Antica,18,45.46868,9.180784
Museo delle Arti Applicate del Castello Sforzesco,12,45.469376,9.181048
Spazio Oberdan,13,45.47522,9.20408
Teatro Nazionale,47,45.466766,9.154144
Corso Garibaldi,17,45.47473,9.18355
Chiesa di San Fedele,19,45.46667,9.191182
Basilica di San Vittore al Corpo,12,45.46315,9.170968
Maquis,7,45.49889,9.101925
Torri Unicredit,29,45.46617,9.18865
Quadrilatero d'Oro,53,45.46889,9.1811
Cavallo di Leonardo da Vinci,42,45.47845,9.125398
Palazzo Lombardia,33,45.488293,9.199332
Giardini della Guastalla,25,45.46092,9.198521
Frog Free Walking Tour Milano,9,45.46438,9.188445
Leonardo3 - Il Mondo di Leonardo,92,45.466667,9.19
Chiesa di Santa Maria del Carmine,19,45.47025,9.18558
Memoriale Della Shoah Di Milano,6,45.490673,9.210872
Biblioteca Chiesa Rossa,8,45.43054,9.174341
Cripta di San Giovanni,22,45.461056,9.189035
Casa Berri-Meregalli,9,45.470444,9.203506
Monumento Ossario Piccoli Martiri,3,45.50566,9.225396
Milano Centrale,638,45.4781,9.201809
Grattacielo Pirelli,79,45.48504,9.201654
Fontana di Piazza Castello,105,45.469376,9.181048
Teatro degli Arcimboldi,151,45.516827,9.214332
Spazio Cortina,3,45.452236,9.175002
Museo Mondo Milan,4,45.50715,9.17841
Corso Como,29,45.4817,9.187221
Ticinese,63,45.454582,9.187842
Villa Clerici,7,45.517277,9.19021
Parco del Portello,5,45.48962,9.144567
Ippodromo di San Siro,8,45.48471,9.117113
Museo Diocesano di Milano,26,45.455246,9.180608
Monte Stella,19,45.487,9.132192
Acquario civico,157,45.473724,9.180982
Teatro Manzoni,15,45.47145,9.194464
Parco di Trenno,32,45.476368,9.114471
Parco Forlanini,19,45.461857,9.254733
Parco di Villa Litta,14,45.516823,9.16916
Piazza della Scala,39,45.466846,9.189844
Arco di Porta Romana,16,45.452328,9.202169
Pasticceria Grecchi,23,45.48225,9.16677
Area archeologica della Basilica dei Santi Apostoli e nazaro Maggiore,5,45.45806,9.193159
Civico Museo di Storia Naturale,229,45.472187,9.202804
Il Disco di Arnaldo Pomodoro,8,45.51413,8.879335
Orto Botanico di Brera,27,45.47224,9.187652
Teatro Franco Parenti,24,45.45416,9.206628
Chiesa di San Francesco di Paola,7,45.47059,9.19341
Palazzo Clerici,17,45.466743,9.187384
Teatro Martinitt,7,45.475666,9.24791
Parrocchia San Francesco d'Assisi al Fopponino,4,45.462406,9.162252
Museo d'Arte e Scienza,20,45.470135,9.182192
Basilica di S. Nazaro Maggiore,17,45.45649,9.195046
WOW Spazio Fumetto,13,45.463406,9.224069
Porta Venezia,70,45.483746,9.186165
Parco Papa Giovanni Paolo II (Parco delle Basiliche),34,45.45732,9.182799
Chiesa di San Giorgio al Palazzo,16,45.46104,9.18379
Teatro Elfo Puccini,9,45.47952,9.21011
Basilica di San Calimero,8,45.456406,9.192854
Museo dello Stadio Meazza,44,45.478024,9.124206
Loggia degli Osii,8,45.464622,9.187532
Archi di Porta Nuova,8,45.472572,9.195296
Casa di Alessandro Manzoni,32,45.46783,9.192181
Palazzo Castiglioni,5,45.47109,9.201505
San Sebastiano,16,45.461967,9.186073
Idropark Fila,18,45.463676,9.285929
INAF Osservatorio Astronomico di Brera,10,45.47192,9.18764
Via Torino,130,45.462505,9.186742
Kasa Dei Libri,3,45.48589,9.194634
L.O.V.E,9,45.464844,9.183313
Parco Avventura,36,45.619392,8.960455
Museo- Palazzo Reale - Kandinsky,6,45.46313,9.191192
Casa Campanini,10,45.46554,9.203975
Centro Congressi Stella Polare,5,45.509193,9.089312
Fondazione Museo Luciano Minguzzi,7,45.47528,9.18514
Museo Studio Francesco Messina,4,45.460823,9.181613
Chiesa di Sant'Alessandro in Zebedia,7,45.4613,9.18477
Monumento a Leonardo da Vinci,5,45.46631,9.190097
Monumento a Vittorio Emanuele II,4,45.464245,9.190204
Milano a Memoria,5,45.46192,9.189849
San Carlo al Corso,14,45.46526,9.195141
Banca Popolare di Milano,10,45.46687,9.193365
Teatro Out Off,9,45.489323,9.164142
Metropolitana Milanese,44,45.464245,9.190204
Palazzo Serbelloni,6,45.46885,9.199311
Torre a spirale di Arnaldo Pomodoro,5,45.4718,9.182609
Palazzo Litta,8,45.465794,9.178242
"Ago, filo e nodo",26,45.468117,9.176773
Hop On/HopOff bus Milan,18,45.465424,9.185925
Limousine Italy Milan - Day Tours,2,45.465424,9.185925
Arena Civica,43,45.476818,9.178013
MIC - Museo Interattivo del Cinema,6,45.51146,9.20313
Gardaland Waterpark Milano,157,45.47323,9.08025
Anfiteatro Romano,8,45.4583,9.178772
Museo degli Strumenti Musicali,7,45.46943,9.177691
Città nascosta Milano,2,45.46222,9.18534
Chiesa di San Gottardo in Corte,15,45.462467,9.191765
Rotonda della Besana,43,45.460182,9.20576
Museo Kartell,6,45.340317,9.094074
Villa Busca Serbelloni,5,45.486332,9.242593
Palazzo Mezzanotte,17,45.464962,9.18304
Il Tempio Israelitico di Milano,7,45.45975,9.198717
Palazzo Spinola,2,45.465843,9.193539
Parrocchia di San Luca Evangelista,4,45.484806,9.22552
Palazzo Giureconsulti,10,45.464733,9.188544
Casa Laugier,5,45.46594,9.1663
Lido Milanosport,4,45.480602,9.142045
Linear 4 Ciak,10,45.451046,9.223909
Fooldive Corsi Sub,9,45.47338,9.14593
Aquae Calidae,4,45.45724,9.19042
Antiche Mura Cittadine,6,45.45641,9.195214
Fondazione Matalon,1,45.467857,9.180856
Conservatorio di Musica Giuseppe Verdi,10,45.465057,9.203214
Villa Simonetta,5,45.490005,9.164858
Chiesa di San Gregorio,3,45.47964,9.20424
Fermo Immagine - Museo del Manifesto Cinematografico,5,45.494144,9.209473
Monumento Alla Guardia Di Finanza,4,45.46766,9.206455
Torri Garibaldi,20,45.484802,9.186432
Santa Maria Bianca della Misericordia,4,45.488747,9.227538
Velodromo Vigorelli,4,45.482563,9.158442
Casa Ferrario,7,45.463314,9.187308
Fantacity,1,45.507713,9.229383
Piscina Cozzi,5,45.47905,9.201327
Conca di Viarenna,5,45.4557,9.1778
Palazzo Cusani,14,45.470654,9.187664
Corso Sempione,27,45.482536,9.163448
Deodato Arte,6,45.472645,9.212788
Piazza Fontana,16,45.463802,9.193972
Battistero Paleocristiano,7,45.46573,9.19148
S. Pietro in Gessate,5,45.46619,9.195577
Europark Idroscalo,64,45.46474,9.18487
Parco Marinai d'Italia,10,45.462265,9.21574
Chiesa di Sant'Angelo,6,45.47599,9.193464
Torre Solaria,3,45.464756,9.180863
Palazzo Borromeo d'Adda,3,45.47098,9.19377
Teatri Possibili,1,45.45569,9.168815
Marionette Carlo Colla & Figli,1,45.433147,9.177864
Societa Umanitaria,2,45.4591,9.200791
Monumento alle Cinque Giornate,12,45.46243,9.207087
Via Solferino,15,45.476257,9.187457
Oratorio di San Protaso,4,45.4536,9.14804
La Tartuca,1,45.46154,9.125823
Casa Berri-Meregalli,4,45.46938,9.203898
Piazza della Vetra,4,45.458286,9.182873
Basilica di San Vincenzo in Prato,3,45.457508,9.174499
Museo Mangini Bonomi,2,45.46356,9.18516
Monumento a San Francesco d'Assisi,6,45.468334,9.21074
Via Savona,20,45.453712,9.16111
Casa 770,4,45.471817,9.210146
Casa Fontana-Pirovano,4,45.468094,9.198649
Teatro Leonardo da Vinci,2,45.479454,9.225914
Abbazia di Santa Maria Rossa,3,45.509422,9.249799
Fabbrica del Vapore,32,45.48392,9.17545
Biblioteca di Via Senato,2,45.470913,9.197045
Palazzo Fidia,5,45.468773,9.201549
Monumento alle vittime del terrorismo e delle stragi,2,45.46933,9.203962
Parco Agricolo Sud Milano,9,45.34352,9.105339
Fondazione Corrente - Studio Treccani,2,45.473965,9.194178
Resti Del Mausoleo Imperiale a San Vittore Al Corpo,2,45.463295,9.170264
Villa Faccanoni-Romeo,4,45.472076,9.155541
Teatro San Babila,7,45.46701,9.19806
Chiesa Apostolica Armena,4,45.486675,9.224801
Santa Maria delle Grazie al Naviglio,10,45.451412,9.172974
Palazzo della Ragione (o Broletto Nuovo),19,45.4646,9.187585
Parco Lambro,14,45.49348,9.246084
Torre Diamante,10,45.48203,9.195024
Monumento a Mazzini,2,45.478943,9.197195
Chiesa dei SS. Faustino e Giovita,3,45.470882,9.240305
Chiesa Ortodossa Russa di San Nicola,2,45.478104,9.207471
Santuario di Sant'Antonio di Padova,3,45.48432,9.181917
Palazzo Isimbardi,2,45.467823,9.204218
Teatro Smeraldo,4,45.48047,9.186986
Casa Sola Busca,3,45.469643,9.201895
Palazzo Dugnani,2,45.473793,9.196045
Tempio della Vittoria,5,45.463028,9.174891
Abbazia di Monlue,7,45.45598,9.254801
Banca d'Italia,14,45.464233,9.184701
Civico Museo Archeologico Sezioni Preistorica ed Egizia,9,45.46945,9.18067
Chiesa di Santa Maria della Passione,7,45.46478,9.20323
Via Paolo Sarpi,92,45.48139,9.175903
Casa Rigamonti,2,45.47605,9.187398
Biblioteca Parco Sempione di Milano,1,45.4721,9.177224
Teatro Filodrammatici,1,45.467182,9.189047
Fontana di Piazza San Babila,105,45.46625,9.19775
Villa Petrovic,3,45.510723,9.250618
Chiusa Leonardesca al Ponte delle Gabelle,3,45.473648,9.187935
Bowling Dei Fiori,7,45.436504,9.173515
Museo dei Cappuccini,2,45.46852,9.20863
Chiesa di Sant'Eufemia,6,45.457386,9.187551
Monumento a G.B. Piatti,4,45.478207,9.184595
Playup,1,45.49657,9.229675
Teatro dal Verme,1,45.46753,9.181948
San Carlo al Lazzaretto,3,45.47714,9.204533
Monumento Ai Carabinieri,4,45.46215,9.190044
"Chiesa Ortodossa dei Santi Sergio, Serafino e Vincenzo",1,45.466713,9.182328
Societa per le Belle Arti ed Esposizione Permanente,2,45.47661,9.19534
Collegio Elvetico,3,45.46983,9.19819
Cassa di Risparmio delle Provincie Lombarde,13,45.46929,9.18943
Spazio Culturale Seicento,1,45.449894,9.150809
Chiesa di San Paolo Converso,1,45.4571,9.18804
Teatro Litta,1,45.465866,9.178795
Ruderi del Circo Romano,6,45.461033,9.180045
Torre di Ansperto,5,45.465706,9.178707
Castello Cova,10,45.462643,9.173552
Tempio Valdese,4,45.461933,9.197469
Oratorio di Sant'Ambrogio ad Nemus,1,45.478405,9.170631
Piccolo Museo Istituto Neurologico Carlo Besta,1,45.477127,9.230648
Tieffe Teatro Menotti,3,45.469788,9.213217
Stadio del Ghiaccio Agorà,11,45.455204,9.128316
Cascina Pozzobonelli,5,45.485554,9.211289
Casa Reininghaus,3,45.45586,9.173554
Chiesa della Madonna dei Poveri,2,45.46196,9.11306
Casa Donzelli,5,45.468464,9.170749
Corso San Gottardo,2,45.44922,9.17978
Corriere della Sera,10,45.47663,9.187624
Chiesa Santa Maria Podone,2,45.463375,9.182416
Quartiere Latino,4,45.465424,9.185925
Milano Convention Center,15,45.48165,9.15506
Monumento Ai Bersaglieri,2,45.464993,9.197138
Teatro Oscar,2,45.452377,9.216727
Scaldasole Books,2,45.45424,9.18025
Teatro del Buratto,1,45.48679,9.185267
Villa Albrighi,2,45.510345,9.248819
Palazzo del Capitano di Giustizia,2,45.464317,9.195023
Fondazione Feltrinelli,2,45.46853,9.190239
Torre Velasca,64,45.46006,9.19016
Resti Del Foro Romano,4,45.463715,9.186139
Ponte Degli Artisti,3,45.451553,9.161481
Officine Creative Ansaldo OCA,3,45.451855,9.163027
Casa Pacchetti,2,45.47705,9.181107
Casa Toscanini,3,45.464687,9.198165
Mostra Milan,1,45.46937,9.194978
Bicocca degli Arcimboldi,1,45.518314,9.210298
Chiesa Cristiana Evangelica delle Assemblee di Dio in Italia,4,45.499916,9.222247
Cucine Economiche,1,45.48064,9.190949
Seminario Arcivescovile,1,45.46801,9.198531
Palazzo Durini,1,45.465187,9.198272
Chiesa Ellenica Ortodossa,1,45.45839,9.153485
Parco di Villa Scheibler,1,45.513508,9.136639
Fondazione Prada,1,45.456573,9.211635
La casa della Meridiana,1,45.45551,9.193043
Palazzo Imperiale Romano di Milano,7,45.464928,9.180337
Casa Parravicini,2,45.466095,9.199246
Palazzo Sormani,7,45.4622,9.198163
Chiesa Di Santa Francesca Romana,1,45.476414,9.208597
Museo d'Arte Estremo Orientale e di Etnografia,3,45.47555,9.14519
Casa Candiani,3,45.463264,9.165997
Ca' Bruta,4,45.47587,9.19454
Stretta Bagnera,1,45.461304,9.182869
Parco della Vettabbia,2,45.43454,9.224033
Chiesa Vetero-Cattolica dell'Unione di Utrecht,2,45.47581,9.187082
Palazzo Castani e Torre Littoria,2,45.462852,9.185495
Walk of Fame,3,45.46457,9.196578
Castello di Macconago,5,45.415203,9.214108
Muba Museo Del Bambino,10,45.460262,9.205236
Fontana a Pinocchio,6,45.46818,9.21146
Edificio per uffici di Piazza Meda,2,45.514065,8.879397
Museo Fondazione Arnaldo Pomodoro,4,45.45461,9.16089
Chinatown,25,45.47924,9.173652
Teatro Nuovo,22,45.466373,9.196734
Chiesa di San Vito in Pasquirolo,2,45.46478,9.195931
Ex Caserma Austriaca,6,45.477722,9.208316
Fun&Fun,2,45.48861,9.214974
Loft Corso Como 9,1,45.48196,9.18727
Teatro Gerolamo,2,45.464165,9.195087
Santa Maria Annunciata in Chiesa Rossa,6,45.432854,9.178225
Monumento a Sandro Pertini,9,45.469902,9.192631
Polisportiva Lombardia Uno,3,45.448574,9.14241
Cinema Skyline Multiplex,6,45.459625,9.061741
Darsena,79,45.452503,9.177801
The Space Cinema Milano Odeon,34,45.46519,9.19222